X,Y,tan,cur
0.0,0.0,,
0.10059336415852903,-0.0977143822666654,-0.800402890765946,-0.004082149002486712
0.1225638110880775,-0.1190143981084757,-0.8044850397684327,-0.036513331803064375
0.20159224393258662,-0.19453685691745332,-0.8369162225690103,-0.04972426377730521
0.2912953993228276,-0.27086940770936635,-0.8542093035457379,-0.0003151623576347351
0.324042356846909,-0.3000651954778758,-0.8372313849266451,0.020236710446976947
0.36864044093473786,-0.34070544378308754,-0.8339725930987609,-0.0413837552295504
0.38680115437612983,-0.3571104529297434,-0.8786151401561955,-0.06695737486312447
0.38923118648727345,-0.35895667692670585,-0.9009299679618854,-0.025730451425110434
0.47110510576676784,-0.4265327805668201,-0.9043455915813059,-0.026860479290604644
0.497400603076489,-0.4462290014858064,-0.92779044725249,-0.025374423210549946
0.5318444160913084,-0.4720418508362923,-0.9297200147918558,-0.007401152864311644
0.607819425203985,-0.5284933339805693,-0.9351916001168017,-0.0055862557832333515
0.6820942109343113,-0.5828972531758267,-0.9353062705750892,0.0032528164523992764
0.7181669014758584,-0.6096873980749931,-0.9319387836644024,0.0034482064075462837
0.7339603150098872,-0.6214198199391143,-0.9318580641675429,-0.00019215253564031087
0.7603804134021752,-0.6410478821346766,-0.9321309362000427,-0.000298758291413348
0.7742883189342727,-0.65136784636519,-0.9321568224589563,-0.0006267610206593943
0.8823131486174309,-0.7316131482278749,-0.9327576972207021,-0.0005401519350010098
0.8875415608131574,-0.7354830081337562,-0.9326969743939573,0.0006793320910427614
0.9165907294811397,-0.7570674046586909,-0.9320783651296594,0.0006186092642979091
1.1798420596946808,-0.9524200171412477,,
